facility_id,year,production,emissions_s1,emissions_s2,energy_coal,energy_gas,energy_elec,energy_naphtha,source_id
LOTTE_YEO_NCC,2022,1107000.0,1051650.0,0.0,0.0,8856000.0,387450.0,,PREP_BOTTOMUP
LOTTE_DAE_NCC,2022,990000.0,940500.0,0.0,0.0,7920000.0,346500.0,,PREP_BOTTOMUP
LOTTE_YEO_NCC,2023,1107000.0,1051650.0,0.0,0.0,8856000.0,387450.0,,PREP_BOTTOMUP
LOTTE_DAE_NCC,2023,990000.0,940500.0,0.0,0.0,7920000.0,346500.0,,PREP_BOTTOMUP
LOTTE_YEO_NCC,2024,1107000.0,1051650.0,0.0,0.0,8856000.0,387450.0,,PREP_BOTTOMUP
LOTTE_DAE_NCC,2024,990000.0,940500.0,0.0,0.0,7920000.0,346500.0,,PREP_BOTTOMUP
MCI_ICH_CR,2022,497700.0,472815.0,65688.16139521134,0.0,3981600.0,174195.0,,PREP_BOTTOMUP
MCI_OSK_CR,2022,409500.0,389025.0,54047.22140112326,0.0,3276000.0,143325.0,,PREP_BOTTOMUP
MCI_ICH_CR,2023,497700.0,472815.0,74632.93230860183,0.0,3981600.0,174195.0,,PREP_BOTTOMUP
MCI_OSK_CR,2023,409500.0,389025.0,61406.84303872302,0.0,3276000.0,143325.0,,PREP_BOTTOMUP
MCI_ICH_CR,2024,497700.0,472815.0,67924.35412355897,0.0,3981600.0,174195.0,,PREP_BOTTOMUP
MCI_OSK_CR,2024,409500.0,389025.0,55887.1268105232,0.0,3276000.0,143325.0,,PREP_BOTTOMUP
NSC_MUR_BF2,2022,2125944.765945178,3935511.707889697,739394.2788887288,28700254.340259902,850377.9063780713,170075.58127561424,,PREP_ALLOC
NSC_KAS_BF1,2022,3787764.894865827,7011844.018370163,1317368.0416829705,51134826.08068867,1515105.957946331,303021.1915892662,,PREP_ALLOC
NSC_KIM_BF2,2022,3174104.66050209,5853102.484382825,1103939.699734333,42850412.916778214,1269641.864200836,253928.37284016723,,PREP_ALLOC
NSC_KIM_BF4,2022,3918255.8642420247,7225329.844610353,1362752.2293387153,52896454.16726734,1567302.34569681,313460.469139362,,PREP_ALLOC
NSC_NGO_BF1,2022,3839255.9260250838,6674455.975746964,1335276.3968119943,51829955.00133863,1535702.3704100335,307140.4740820067,,PREP_ALLOC
NSC_NGO_BF3,2022,3121202.9161603884,5426137.735197559,1085540.7047387606,42136239.36816524,1248481.1664641553,249696.23329283108,,PREP_ALLOC
NSC_WAK_BF2,2022,2609819.3875239408,4506661.15668054,907683.7531148959,35232561.7315732,1043927.7550095763,208785.55100191527,,PREP_ALLOC
NSC_TOB_BF4,2022,3526782.9561134335,8284121.65519396,1226599.666371481,47611569.90753135,1410713.1824453734,282142.6364890747,,PREP_ALLOC
NSC_OIT_BF1,2022,4073434.3143110154,7242917.710963968,1416722.6146590605,54991363.24319871,1629373.7257244063,325874.74514488125,,PREP_ALLOC
NSC_OIT_BF2,2022,4073434.3143110154,7242917.710963968,1416722.6146590605,54991363.24319871,1629373.7257244063,325874.74514488125,,PREP_ALLOC
NSC_MUR_BF2,2023,2171877.587165599,3973809.7493667235,771236.8968428858,29320347.42673559,868751.0348662398,173750.20697324793,,PREP_ALLOC
NSC_KAS_BF1,2023,3869602.7349300818,7080079.082315628,1374101.571349136,52239636.9215561,1547841.093972033,309568.21879440657,,PREP_ALLOC
NSC_KIM_BF2,2023,3242683.8560866606,5910061.370127414,1151481.7637003933,43776232.05716992,1297073.5424346644,259414.70848693285,,PREP_ALLOC
NSC_KIM_BF4,2023,4002913.071235867,7295642.4246795075,1421440.2660790412,54039326.461684205,1601165.228494347,320233.0456988694,,PREP_ALLOC
NSC_NGO_BF1,2023,3922206.2730399324,6739407.78145073,1392781.1644047205,52949784.68603909,1568882.509215973,313776.5018431946,,PREP_ALLOC
NSC_NGO_BF3,2023,3188639.125151883,5478941.655873503,1132290.4009720534,43046628.18955042,1275455.6500607533,255091.13001215065,,PREP_ALLOC
NSC_WAK_BF2,2023,2666206.726115699,4550517.282316107,946773.8945981013,35993790.80256194,1066482.6904462797,213296.53808925592,,PREP_ALLOC
NSC_TOB_BF4,2023,3602982.0623185122,8364737.762653461,1279424.181889326,48640257.841299914,1441192.824927405,288238.564985481,,PREP_ALLOC
NSC_OIT_BF1,2023,4161444.281977881,7313401.445608461,1477734.9300821715,56179497.8067014,1664577.7127911525,332915.5425582305,,PREP_ALLOC
NSC_OIT_BF2,2023,4161444.281977881,7313401.445608461,1477734.9300821715,56179497.8067014,1664577.7127911525,332915.5425582305,,PREP_ALLOC
NSC_MUR_BF2,2024,2129048.3349465574,3952208.9091171203,709041.3740552341,28742152.521778524,851619.333978623,170323.8667957246,,PREP_ALLOC
NSC_KAS_BF1,2024,3793294.4786539525,7041593.179150277,1263288.7122351052,51209475.46182836,1517317.7914615811,303463.5582923162,,PREP_ALLOC
NSC_KIM_BF2,2024,3178738.38993348,5877935.450777143,1058621.8258953395,42912968.26410198,1271495.355973392,254299.0711946784,,PREP_ALLOC
NSC_KIM_BF4,2024,3923975.9457956627,7255984.762014896,1306809.8317441358,52973675.26824145,1569590.378318265,313918.075663653,,PREP_ALLOC
NSC_NGO_BF1,2024,3844860.6792017627,6702773.699789611,1280461.9107440743,51905619.16922379,1537944.2716807052,307588.854336141,,PREP_ALLOC
NSC_NGO_BF3,2024,3125759.4167679218,5449159.217631641,1040978.1287970839,42197752.12636694,1250303.7667071687,250060.75334143374,,PREP_ALLOC
NSC_WAK_BF2,2024,2613629.3428341947,4525781.574502206,870422.3901806126,35283996.128261626,1045451.7371336779,209090.34742673556,,PREP_ALLOC
NSC_TOB_BF4,2024,3531931.544370534,8319268.710147941,1176246.473217044,47681075.849002205,1412772.6177482137,282554.5235496427,,PREP_ALLOC
NSC_OIT_BF1,2024,4079380.933747966,7273647.248434583,1358564.6765656858,55071642.60559754,1631752.3734991865,326350.4746998373,,PREP_ALLOC
